SF Contact ID,BR Team ID,Entity ID,BR Team Name,Entity Name,DST Branch Internal ID,DST Firm Name,Office Address,Office City,Office State,Data Driven Segment, Total MF Opportunity 
SF00177,BR1177,E276,Iota Sovereign,Iota Sovereign Partners,B1176,Natural State Securities,17373 Magnolia Court,Hot Springs,AR,2 - Tier 2,$70100000
SF00178,BR1178,E277,Kappa Imperial,Kappa Imperial Management,B1177,Golden State Advisors,17474 Dogwood Lane,Fresno,CA,2 - Tier 2,$66800000
SF00179,BR1179,E278,Lambda Sovereign,Lambda Sovereign Wealth,B1178,Rocky Mountain Financial,17575 Cypress Avenue,Fort Collins,CO,2 - Tier 2,$63500000
SF00180,BR1180,E279,Mu Imperial,Mu Imperial Advisors,B1179,Constitution Securities,17676 Poplar Street,New Haven,CT,2 - Tier 2,$60200000
SF00181,BR1181,E280,Nu Sovereign,Nu Sovereign Capital,B1180,First State Advisors,17777 Holly Road,Dover,DE,2 - Tier 2,$56900000
SF00182,BR1182,E281,Xi Imperial,Xi Imperial Partners,B1181,Sunshine Financial,17878 Palm Drive,Pensacola,FL,2 - Tier 2,$53600000
SF00183,BR1183,E282,Omicron Sovereign,Omicron Sovereign Management,B1182,Peach State Securities,17979 Pine Lane,Savannah,GA,3 - Tier 3,$50300000
SF00184,BR1184,E283,Pi Imperial,Pi Imperial Wealth,B1183,Aloha Advisors,18080 Oak Circle,Kauai,HI,3 - Tier 3,$47000000
SF00185,BR1185,E284,Rho Sovereign,Rho Sovereign Advisors,B1184,Gem State Financial,18181 Cedar Court,Coeur d'Alene,ID,3 - Tier 3,$43700000
SF00186,BR1186,E285,Sigma Imperial,Sigma Imperial Capital,B1185,Prairie Securities,18282 Birch Avenue,Springfield,IL,3 - Tier 3,$40400000
SF00187,BR1187,E286,Tau Sovereign,Tau Sovereign Partners,B1186,Hoosier Advisors,18383 Walnut Street,South Bend,IN,3 - Tier 3,$37100000
SF00188,BR1188,E287,Upsilon Imperial,Upsilon Imperial Management,B1187,Hawkeye Financial,18484 Spruce Drive,Davenport,IA,3 - Tier 3,$33800000
SF00189,BR1189,E288,Phi Sovereign,Phi Sovereign Wealth,B1188,Sunflower Securities,18585 Chestnut Lane,Overland Park,KS,3 - Tier 3,$30500000
SF00190,BR1190,E289,Chi Imperial,Chi Imperial Advisors,B1189,Bluegrass Advisors,18686 Sycamore Court,Bowling Green,KY,3 - Tier 3,$27200000
SF00191,BR1191,E290,Psi Sovereign,Psi Sovereign Capital,B1190,Pelican Financial,18787 Willow Road,Lake Charles,LA,3 - Tier 3,$23900000
SF00192,BR1192,E291,Omega Imperial,Omega Imperial Partners,B1191,Pine Tree Securities,18888 Aspen Street,Portland,ME,3 - Tier 3,$20600000
SF00193,BR1193,E292,Alpha Legacy,Alpha Legacy Management,B1192,Old Line Advisors,18989 Redwood Avenue,Frederick,MD,3 - Tier 3,$17300000
SF00194,BR1194,E293,Beta Tradition,Beta Tradition Wealth,B1193,Bay State Financial,19090 Magnolia Circle,Cambridge,MA,3 - Tier 3,$14000000
SF00195,BR1195,E294,Gamma Legacy,Gamma Legacy Advisors,B1194,Great Lakes Securities,19191 Dogwood Lane,Ann Arbor,MI,3 - Tier 3,$10700000
SF00196,BR1196,E295,Delta Tradition,Delta Tradition Capital,B1195,North Star Advisors,19292 Cypress Court,St. Paul,MN,4 - Tier 4,$7400000
SF00197,BR1197,E296,Epsilon Legacy,Epsilon Legacy Partners,B1196,Magnolia Financial,19393 Poplar Drive,Biloxi,MS,4 - Tier 4,$4100000
SF00198,BR1198,E297,Zeta Tradition,Zeta Tradition Management,B1197,Show Me Securities,19494 Holly Street,St. Louis,MO,4 - Tier 4,$800000
SF00199,BR1199,E298,Eta Legacy,Eta Legacy Wealth,B1198,Big Sky Advisors,19595 Palm Avenue,Billings,MT,4 - Tier 4,$172000000
SF00200,BR1200,E299,Theta Tradition,Theta Tradition Advisors,B1199,Cornhusker Investments,19696 Pine Road,Omaha,NE,4 - Tier 4,$168700000
